Ind#;Desired DVs;Actual DVs;Perf. Metrics
3256;0.401,0.813,0.508,0.941,0.361,0.994,0.440,1.173,0.402,0.670,0.483,1.103,0.431,0.922,0.542,0.987,0.338,0.866,0.401,1.142,0.439,0.766,0.558,1.088,0.436,0.930,0.485,0.881,0.497,0.939;0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116
3257;0.431,0.827,0.309,0.678,0.339,0.936,0.514,1.324,0.517,0.926,0.439,1.346,0.490,1.202,0.627,1.257,0.430,0.998,0.499,1.279,0.340,0.782,0.542,1.209,0.515,0.726,0.361,1.074,0.427,1.640;0.600,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002
3258;0.532,0.948,0.530,0.719,0.444,0.893,0.436,1.289,0.501,0.977,0.553,1.133,0.648,0.920,0.588,0.991,0.519,1.084,0.509,1.244,0.426,1.072,0.605,0.857,0.447,1.367,0.328,1.208,0.532,1.202;0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002
3259;0.364,1.141,0.308,1.044,0.280,0.941,0.436,0.474,0.248,0.588,0.405,1.609,0.348,0.551,0.477,0.482,0.515,0.629,0.286,0.740,0.356,1.030,0.404,0.812,0.378,0.843,0.345,1.289,0.210,1.426;0.200,1.500,0.200,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,0.500,0.200,0.500,0.200,1.500,0.600,0.500,0.200,0.500,0.200,1.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533
3260;0.610,0.836,0.488,0.923,0.468,0.869,0.324,0.743,0.554,1.135,0.536,0.953,0.477,1.039,0.577,0.682,0.498,0.651,0.610,0.525,0.488,0.857,0.696,1.107,0.578,1.463,0.341,1.041,0.462,1.334;0.600,0.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002
3261;0.440,0.937,0.372,0.773,0.500,1.040,0.453,0.582,0.525,0.976,0.319,1.503,0.471,1.482,0.578,0.997,0.365,0.914,0.429,0.579,0.416,0.945,0.519,1.111,0.344,1.141,0.389,1.238,0.343,1.108;0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533
3262;0.495,0.839,0.333,0.795,0.375,1.100,0.382,0.558,0.530,0.980,0.510,1.576,0.549,1.235,0.545,1.086,0.527,0.954,0.543,1.033,0.471,0.699,0.418,1.089,0.375,1.283,0.385,0.955,0.363,0.863;0.600,0.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,0.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646
3263;0.569,0.502,0.305,0.966,0.359,1.108,0.527,1.165,0.429,0.911,0.427,1.248,0.392,1.022,0.515,0.862,0.313,0.892,0.447,0.616,0.328,0.534,0.523,1.021,0.353,0.994,0.420,1.423,0.246,0.823;0.600,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
3264;0.592,1.035,0.514,0.884,0.387,0.599,0.415,0.824,0.479,0.270,0.673,0.890,0.574,0.508,0.524,0.951,0.472,0.552,0.473,0.355,0.419,1.163,0.393,0.977,0.392,0.360,0.558,1.274,0.249,1.108;0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.200,0.500,0.600,1.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
3265;0.681,0.645,0.355,1.245,0.309,1.084,0.412,1.242,0.432,0.802,0.678,1.034,0.358,1.149,0.498,1.320,0.505,1.386,0.485,0.978,0.523,0.689,0.732,0.894,0.517,1.677,0.589,1.002,0.312,1.699;0.600,0.500,0.200,1.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
3266;0.443,0.839,0.397,1.186,0.338,1.020,0.411,1.515,0.362,0.722,0.429,1.101,0.520,0.860,0.427,1.501,0.324,1.201,0.503,0.463,0.172,0.682,0.579,0.802,0.231,0.882,0.634,1.310,0.138,0.567;0.600,0.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
3267;0.513,0.848,0.387,0.675,0.410,1.021,0.444,0.832,0.511,0.981,0.520,1.483,0.404,1.240,0.556,0.668,0.502,0.722,0.460,1.474,0.279,0.960,0.462,0.862,0.414,1.186,0.391,0.911,0.408,1.239;0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002
3268;0.451,1.059,0.439,0.901,0.374,1.037,0.569,1.186,0.525,1.071,0.485,1.465,0.366,1.336,0.557,1.109,0.507,0.399,0.476,0.756,0.386,0.716,0.473,1.090,0.418,1.178,0.501,1.198,0.242,1.106;0.600,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
3269;0.467,0.865,0.342,1.045,0.433,1.069,0.514,1.155,0.614,1.430,0.596,1.097,0.448,1.020,0.609,1.160,0.421,0.972,0.683,0.677,0.390,0.695,0.590,1.197,0.379,0.810,0.361,1.180,0.357,1.056;0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.200,1.500,0.200,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533
3270;0.349,0.830,0.469,0.440,0.454,1.237,0.462,1.513,0.403,0.924,0.541,1.040,0.543,1.027,0.541,0.660,0.387,0.802,0.510,0.905,0.435,0.828,0.485,1.239,0.652,1.110,0.478,1.247,0.495,1.132;0.200,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500;518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
3271;0.428,0.777,0.447,0.947,0.333,1.235,0.462,1.090,0.384,0.699,0.505,1.195,0.381,1.277,0.482,1.175,0.367,0.839,0.401,0.730,0.261,0.999,0.506,0.587,0.510,1.022,0.414,1.152,0.347,0.765;0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
3272;0.583,1.061,0.408,1.275,0.358,1.277,0.526,1.140,0.418,0.810,0.447,1.145,0.355,1.071,0.476,0.950,0.355,0.936,0.419,0.712,0.363,1.074,0.534,0.648,0.463,0.840,0.550,0.981,0.264,0.985;0.600,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646
3273;0.361,1.318,0.378,0.989,0.490,1.135,0.390,1.524,0.352,1.029,0.537,1.475,0.562,1.361,0.535,0.959,0.450,1.228,0.453,0.899,0.500,0.997,0.537,0.874,0.553,1.407,0.467,0.638,0.300,1.206;0.200,1.500,0.200,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533
3274;0.317,0.742,0.338,0.620,0.363,1.094,0.535,1.297,0.373,1.012,0.472,1.271,0.353,1.008,0.510,0.897,0.406,0.913,0.553,0.616,0.347,0.862,0.467,1.180,0.402,0.978,0.416,1.483,0.383,0.987;0.200,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
3275;0.387,0.689,0.428,0.988,0.385,1.129,0.471,1.406,0.377,0.914,0.489,1.171,0.360,0.828,0.560,0.923,0.322,0.736,0.541,0.821,0.371,0.907,0.481,1.249,0.590,0.944,0.494,1.337,0.435,0.975;0.200,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500;518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116
3276;0.351,0.871,0.379,0.515,0.337,1.264,0.510,1.416,0.373,0.471,0.432,1.155,0.282,0.841,0.482,0.957,0.320,1.015,0.443,0.786,0.336,0.905,0.504,0.788,0.343,1.325,0.612,1.124,0.224,0.812;0.200,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
3277;0.523,0.675,0.443,0.708,0.381,0.969,0.411,1.232,0.363,0.961,0.617,1.049,0.624,0.846,0.553,1.317,0.452,1.169,0.461,0.864,0.404,0.763,0.540,1.340,0.406,0.703,0.548,1.124,0.234,0.827;0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
