Assembly k_xy, Max mises 1, Assembly k_theta, Max mises 2, Mass
9.1357e+08,-0.1,1.60183e+11,903961344.0,-6609676.4799
1.08016e+09,-0.1,3.05373e+11,1285187968.0,-6657213.83664
9.45082e+08,-0.1,2.77918e+11,1261899008.0,-6622518.2538
1.15228e+09,-0.1,2.487e+11,1071024128.0,-6698330.30642
1.03456e+09,-0.1,2.77824e+11,1249892992.0,-6663634.72359
1.07514e+09,-0.1,2.66342e+11,1079030400.0,-6628939.14075
9.99299e+08,-0.1,2.62649e+11,1132020608.0,-6628939.14075
9.17999e+08,-0.1,2.34965e+11,1119092736.0,-6644372.06273
1.01793e+09,-0.1,2.74781e+11,1260006400.0,-6628939.14075
1.04757e+09,-0.1,2.63387e+11,1134377344.0,-6717592.96727
6.52374e+08,-0.1,1.55223e+11,807593088.0,-6419527.05295
1.21648e+09,-0.1,3.40371e+11,1268858368.0,-6698330.30642
7.17527e+08,-0.1,1.2833e+11,762943360.0,-6521022.65337
8.98148e+08,-0.1,2.14368e+11,1023757504.0,-6596834.706
6.84464e+08,-0.1,1.65322e+11,791161536.0,-6438789.7138
1.02821e+09,-0.1,2.40169e+11,1149134464.0,-6637951.17578
1.06539e+09,-0.1,2.7084e+11,1251500544.0,-6650792.94968
9.00742e+08,-0.1,2.52131e+11,1184548736.0,-6568560.01011
1.05514e+09,-0.1,2.06633e+11,885408320.0,-6663634.72359
8.03885e+08,-0.1,2.16673e+11,1032368448.0,-6416935.90487
8.74299e+08,-0.1,2.33303e+11,1076124416.0,-6533864.42728
9.05669e+08,-0.1,2.42232e+11,1113829376.0,-6574980.89706
8.79528e+08,-0.1,2.66009e+11,1312465792.0,-6546706.20118
8.02583e+08,-0.1,2.32585e+11,1079866880.0,-6479906.18359
7.4181e+08,-0.1,1.35167e+11,853009088.0,-6527443.54033
8.59929e+08,-0.1,2.00774e+11,993186048.0,-6486327.07054
8.83262e+08,-0.1,2.24811e+11,1011677184.0,-6521022.65338
1.22812e+09,-0.1,2.92587e+11,1266330112.0,-6774142.35904
1.19991e+09,-0.1,3.29236e+11,1121685248.0,-6733025.88926
7.38262e+08,-0.1,1.73939e+11,799213376.0,-6473485.29664
1.1369e+09,-0.1,2.45915e+11,1117407360.0,-6711172.08032
9.34366e+08,-0.1,2.54356e+11,1172640128.0,-6562139.12316
8.32393e+08,-0.1,2.50736e+11,1095629312.0,-6508180.87947
8.75648e+08,-0.1,2.11239e+11,1091852416.0,-6562139.12316
6.84471e+08,-0.1,1.76905e+11,846533312.0,-6384831.47012
3.95172e+08,-0.1,8.12425e+10,555513792.0,-6521022.65338
8.43772e+08,-0.1,2.1225e+11,1066622848.0,-6568560.01011
9.12151e+08,-0.1,2.11035e+11,1062373120.0,-6549297.34926
5.14639e+08,-0.1,1.12222e+11,734696064.0,-6657213.83664
1.35204e+09,-0.1,3.44269e+11,1293181312.0,-6739446.77621
9.42434e+08,-0.1,2.22823e+11,1116012160.0,-6609676.4799
9.74983e+08,-0.1,2.66322e+11,1264318464.0,-6596834.706
8.60872e+08,-0.1,2.34732e+11,1108574464.0,-6581401.78401
1.06904e+09,-0.1,2.71697e+11,1269841280.0,-6650792.94968
9.85002e+08,-0.1,2.95051e+11,1184735104.0,-6542876.46231
9.81023e+08,-0.1,3.03258e+11,1210807040.0,-6508180.87947
8.10048e+08,-0.1,2.31622e+11,1086652544.0,-6521022.65338
9.25828e+08,-0.1,2.74239e+11,1252158336.0,-6574980.89706
8.65479e+08,-0.1,1.91505e+11,890343552.0,-6555718.23621
8.22146e+08,-0.1,1.69235e+11,890559232.0,-6609676.4799
9.05756e+08,-0.1,2.52111e+11,1078109184.0,-6540285.31423
8.84178e+08,-0.1,2.68009e+11,1266772608.0,-6521022.65338
1.01003e+09,-0.1,2.43087e+11,1067159552.0,-6672646.75862
5.69746e+08,-0.1,1.41232e+11,813641856.0,-6473485.29664
9.24391e+08,-0.1,2.31804e+11,1019705280.0,-6685488.53252
1.10212e+09,-0.1,2.42243e+11,1374560512.0,-6622518.2538
9.5587e+08,-0.1,2.32949e+11,1015205248.0,-6492747.95749
9.43999e+08,-0.1,2.7368e+11,1308096640.0,-6568560.01011
1.03444e+09,-0.1,2.48063e+11,1294227712.0,-6663634.72359
7.99453e+08,-0.1,2.24872e+11,1133965824.0,-6524852.39225
